Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
6/17/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 25 bags,1250.0,9.5,11875.0,0.0,11875.0
6/17/2020,Khamissa International,RAW MATERIAL,None,PAK Rupee,dsp,Factory Warehouse,foodChem,whipCream,raw material,dsp,kg,dsp 4 bags,100.0,500.0,50000.0,0.0,50000.0
6/18/2020,Khizer Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,displayBox,soup & ckp,packing material,Display Box Chicken powder 100gm (150x165x130mm),pcs,cp 100 gm display box 5450 pcs,5450.0,17.75,96737.5,0.0,96737.5
6/19/2020,Hussain Can,PACKING MATERIAL,None,PAK Rupee,cakegel,Factory Warehouse,bucket,cakegel,packing material,Plastic 18kg bucket,pcs,20 kg plastic bucket 400 pcs,400.0,300.0,120000.0,0.0,120000.0
6/21/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 50 bags,2500.0,9.5,23750.0,0.0,23750.0
6/22/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,acid citric,Factory Warehouse,foodChem,seasoning,raw material,CITRIC ACID,kg,citric acid 05 bags,125.0,168.0,21000.0,0.0,21000.0
6/22/2020,Hub Salt Refinery,RAW MATERIAL,None,PAK Rupee,salt,Factory Warehouse,foodChem,seasoning,raw material,salt,kg,salt 150 bags,7500.0,9.5,71250.0,0.0,71250.0
6/22/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,dextroseAnhydrouse,Factory Warehouse,glucose & sugar,seasoning,raw material,dextroseAnhydrouse,kg,dextrose 10 bags,250.0,180.0,45000.0,0.0,45000.0
6/22/2020,shafiq iqbal jodia egypt starch,RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch Egypt,kg,corn starch egypt 600 bags,15000.0,93.2,1398000.0,0.0,1398000.0
6/23/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,chickenOil,Factory Warehouse,Flavors,seasoning,raw material,Chicken Flavor k-0304153,kg,chicken flavor 25 kg,25.0,4900.0,122500.0,0.0,122500.0
6/23/2020,Ahmed Impex,GENERAL & CONSUMABLE,None,PAK Rupee,PropyleneGlycolLiquid,Factory Warehouse,glucose & sugar,cakegel,raw material,Propylene glycol PG,kg,pg 06 drums,1290.0,288.2,371778.0,0.0,371778.0
6/23/2020,A one Packages Cartons,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Dashi MC1 1kg cracker Carton (dimension 410x325x355 mm),pcs,dashi cracker 1kg ctn 1300 pcs,1300.0,89.0,115700.0,19669.0,135369.0
6/23/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,none,Factory Warehouse,cleanignRelated,none,consumables,Boiler chemical EC-2823,kg,boiler chemical 25 kg ,25.0,400.0,10000.0,0.0,10000.0
6/23/2020,F&A International,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Funchies MC2 Carton (dimension 20.5/8 x 16.5/8 x 14.75 inch),pcs,fuchies ctn 1630 pcs,1630.0,99.5,162185.0,27571.45,189756.45
6/23/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,cracker,Factory Warehouse,filmFlexiblePackaging,cracker,packing material,papad pipes 250gm roll,kg,crk 250gm pipcs roll 34 pcs 552.31 kg,552.31,445.0,245777.95,41782.25,287560.2
6/23/2020,Speciality Printers,PACKING MATERIAL,None,PAK Rupee,cracker,Factory Warehouse,filmFlexiblePackaging,cracker,packing material,papad zeera 250gm roll,kg,crk 250gm zeera 34 roll 545.84 kg,545.84,445.0,242898.8,41292.8,284191.6
6/24/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderRedChilli,Factory Warehouse,vegetable powder,seasoning,raw material,red chilli,kg,red chili 05 kg,5.0,1180.0,5900.0,0.0,5900.0
6/24/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGinger,Factory Warehouse,vegetable powder,seasoning,raw material,ginger powder (Sounth),kg,ginger powder 01 kg,1.0,900.0,900.0,0.0,900.0
